street,house,repressed,longitude,latitude,distance from Kremlin
Бауманская  ул.,д.30,1,37.678191,55.772912,4.47485057976
Бауманская  ул.,д.36,1,37.678424,55.771818,4.42557331031
Бауманская 2-я ул.,д.1,5,37.687012,55.768876,4.76092390125
Бахрушина  ул.,д.2,2,37.633769,55.736939,1.97498016707
Бахрушина  ул.,д.13,1,37.636320,55.735672,2.17988081616
Бахрушина  ул.,д.29,1,37.637587,55.732230,2.546850556
Башиловка Нов. ул.,д.2,1,37.568345,55.786207,4.87325442212
Башиловка Нов. ул.,д.4,1,37.568345,55.786207,4.87325442212
Башиловка Нов. ул.,д.9,1,37.570617,55.790686,5.19012409117
Башиловка Нов. ул.,д.26а,1,37.573474,55.789760,5.00560383869
Башиловская  ул.,д.2,1,37.577364,55.794436,5.33133817494
Башиловская  ул.,д.23а,1,37.573753,55.802933,6.27707509222
Башиловская  ул.,д.30,1,37.573321,55.805710,6.5681507445
Башиловская  ул.,д.37,1,37.572477,55.805523,6.57147750741
Бебеля 1-я ул.,д.42,1,37.571058,55.796203,5.6947036269
Бебеля 2-я ул.,д.18,1,37.570635,55.795454,5.63659083971
Бебеля 2-я ул.,д.31,1,37.570635,55.795454,5.63659083971
Бебеля 3-я ул.,д.6,1,,,
Бебеля 3-я ул.,д.11,1,,,
Беговая  ул.,д.1,1,37.550360,55.775383,4.91642238188
Беговая  ул.,д.2,2,37.556137,55.774846,4.58025533483
Беговая  ул.,д.4,3,37.555077,55.775434,4.67170189055
Беговая  ул.,д.6,2,37.555714,55.776224,4.68853241011
Беговая  ул.,д.7,2,37.555768,55.778122,4.81006958403
Беговая  ул.,д.8,3,37.567536,55.777510,4.20025972203
Беговая  ул.,д.10,1,37.556298,55.776532,4.67853669235
Беговая  ул.,д.14,1,37.556289,55.777049,4.7127082496
Беговая  ул.,д.16,3,37.556990,55.777439,4.70332759898
Беговая  ул.,д.20,1,37.557439,55.778365,4.7437887522
Беговая  ул.,д.22,7,37.565003,55.777160,4.29304096945
Беговая  ул.,д.98,1,,,
Беговая  ул.,д.117,1,,,
Бережковская  наб.,д.3,2,37.567150,55.741328,3.34238040427
Бережковская  наб.,д.10,1,37.565219,55.739519,3.52987615792
Бережковская  наб.,д.12,1,37.564114,55.738074,3.65871648969
Бережковская  наб.,д.28,1,37.547576,55.731146,4.92983131078
Бережковская  наб.,д.38,2,37.544665,55.734324,4.94016980639
Бережковская  наб.,д.44,2,37.544665,55.734324,4.94016980639
Берсеневская  наб.,д.14,1,37.609254,55.742570,1.15793717772
Берсеневская  наб.,д.16,1,37.611608,55.743406,1.01583113628
Берсеневский  пер.,д.5,1,37.610080,55.741353,1.26305370673
Бескудниковская Ветка  ул.,д.1,1,,,
Библиотечная  ул.,д.5,1,37.670869,55.744632,3.46548601607
Библиотечная  ул.,д.15,1,37.673124,55.744769,3.59931287433
Библиотечная  ул.,д.23,1,37.675091,55.744921,3.7157694764
Библиотечная  ул.,д.38,1,,,
Благовещенский  пер.,д.1,3,37.595905,55.766628,2.09661903656
Благовещенский  пер.,д.1а,1,37.595905,55.766628,2.09661903656
Благовещенский  пер.,д.3,3,37.598115,55.767722,2.11163332883
Благовещенский  пер.,д.4,4,37.597297,55.766299,2.01374427204
Благовещенский  пер.,д.5,2,37.598681,55.768061,2.12353328719
Благовещенский  пер.,д.21,1,,,
Благуша  ул.,д.8,1,37.723672,55.780562,7.38577995946
Благуша  ул.,д.20,1,,,
Благуша  ул.,д.25а,2,37.727364,55.781114,7.6207720994
Благуша  ул.,д.26а,4,,,
Бобров  пер.,д.2,1,37.632637,55.765260,1.76629642663
Бобров  пер.,д.4,1,37.633994,55.765336,1.82136892536
Бобров  пер.,д.5,1,37.632763,55.765650,1.80690030465
Бобров  пер.,д.6,2,37.634389,55.765174,1.82133967776
Богатырский Мост  ул.,д.17,1,37.688494,55.820926,8.86945108611
Богатырский 2-й пер.,д.5,1,37.695456,55.816090,8.64839919445
Богородский Вал  ул.,д.3,4,37.702993,55.803327,7.8380663394
Богородский Вал  ул.,д.4,1,37.703550,55.802219,7.773080009
Богородское  ш.,д.6,1,37.700963,55.801607,7.61197575999
Богословский  пер.,д.3,1,37.600630,55.761928,1.50813512389
Богословский  пер.,д.7,4,37.597809,55.763209,1.73297066224
Богословский  пер.,д.10,1,37.599453,55.763148,1.65801253668
Богословский  пер.,д.14,1,37.598088,55.763685,1.75955568587
Богословский  пер.,д.16,3,37.598088,55.763685,1.75955568587
Богоявленский  пер.,д.1,1,37.623654,55.756655,0.660812502858
Богоявленский  пер.,д.3,3,37.625046,55.756558,0.710643803943
Богоявленский  пер.,д.6,3,37.622342,55.755718,0.528170097189
Боевская 1-я ул.,д.1,2,37.693157,55.792827,6.57629852019
Боевская 1-я ул.,д.2,1,37.692797,55.791830,6.483858614
Боевская 2-я ул.,д.8,3,37.691306,55.790696,6.32973678711
Болотная  ул.,д.12,6,37.623025,55.746476,0.719345005006
Болотная  ул.,д.18,2,37.621121,55.746117,0.702524303667
Бориса Галушкина  ул.,д.3,1,37.651466,55.825790,8.48122971133
Бориса Галушкина  ул.,д.16,1,37.655787,55.823075,8.26463053483
Бориса Галушкина  ул.,д.25,2,37.666701,55.821280,8.3041583276
Бориса Жигуленкова  ул.,д.2,8,37.731973,55.773945,7.59097758933
Бориса Жигуленкова  ул.,д.15,1,37.732970,55.773606,7.63816336125
Борисовская  ул.,д.8,1,37.737111,55.787351,8.47480049633
Борисовская  ул.,д.8а,2,37.737111,55.787351,8.47480049633
Борисовская  ул.,д.16,6,37.736393,55.789421,8.54452743691
Борисовская  ул.,д.34,1,37.736491,55.793495,8.77889034238
Борисоглебский  пер.,д.2,3,37.590389,55.753960,1.68357054058
Борисоглебский  пер.,д.3,1,37.589275,55.753656,1.74886684045
Борисоглебский  пер.,д.6,1,37.590389,55.753960,1.68357054058
Борисоглебский  пер.,д.8,1,37.590578,55.754253,1.67637570972
Борисоглебский  пер.,д.12,5,37.590964,55.754948,1.66590172106
